01-01 00:00:07.974 I/BOOT    (  154): MSM target 'msm8960', SoC 'Surf', HwID '109', SoC ver '65536' 
01-02 13:00:00.840 I/qrngd   (  217): qrngd has started:
01-02 13:00:00.840 I/qrngd   (  217): Reading device:'/dev/hw_random' updating entropy for device:'/dev/random'
01-02 13:00:00.880 I/qcom-bluetooth(  222): /system/etc/init.qcom.bt.sh: init.qcom.bt.sh config = onboot 
01-01 00:00:15.846 W/Resources(  210): Preloaded drawable resource #0x1080665 (android:drawable/textfield_searchview_holo_light) that varies with configuration!!
01-01 00:00:15.846 W/Resources(  210): Preloaded drawable resource #0x1080660 (android:drawable/textfield_search_right_selected_holo_light) that varies with configuration!!
01-01 00:00:15.846 W/Resources(  210): Preloaded drawable resource #0x108065e (android:drawable/textfield_search_right_default_holo_light) that varies with configuration!!
01-01 00:00:15.846 W/Resources(  210): Preloaded drawable resource #0x1080667 (android:drawable/textfield_searchview_right_holo_light) that varies with configuration!!
01-01 00:00:15.846 W/Resources(  210): Preloaded drawable resource #0x1080662 (android:drawable/textfield_search_selected_holo_dark) that varies with configuration!!
01-01 00:00:15.846 W/Resources(  210): Preloaded drawable resource #0x1080656 (android:drawable/textfield_search_default_holo_dark) that varies with configuration!!
01-01 00:00:15.846 W/Resources(  210): Preloaded drawable resource #0x108065f (android:drawable/textfield_search_right_selected_holo_dark) that varies with configuration!!
01-01 00:00:15.846 W/Resources(  210): Preloaded drawable resource #0x108065d (android:drawable/textfield_search_right_default_holo_dark) that varies with configuration!!
01-01 00:00:15.846 W/Resources(  210): Preloaded drawable resource #0x1080663 (android:drawable/textfield_search_selected_holo_light) that varies with configuration!!
01-01 00:00:15.856 W/Resources(  210): Preloaded drawable resource #0x1080657 (android:drawable/textfield_search_default_holo_light) that varies with configuration!!
01-01 00:00:15.856 W/Resources(  210): Preloaded drawable resource #0x1080660 (android:drawable/textfield_search_right_selected_holo_light) that varies with configuration!!
01-01 00:00:15.856 W/Resources(  210): Preloaded drawable resource #0x108065e (android:drawable/textfield_search_right_default_holo_light) that varies with configuration!!
01-01 00:00:15.856 W/Resources(  210): Preloaded drawable resource #0x108062b (android:drawable/tab_unselected_holo) that varies with configuration!!
01-01 00:00:15.856 W/Resources(  210): Preloaded drawable resource #0x1080626 (android:drawable/tab_selected_holo) that varies with configuration!!
01-01 00:00:15.856 W/Resources(  210): Preloaded drawable resource #0x108062a (android:drawable/tab_unselected_focused_holo) that varies with configuration!!
01-01 00:00:15.856 W/Resources(  210): Preloaded drawable resource #0x1080625 (android:drawable/tab_selected_focused_holo) that varies with configuration!!
01-01 00:00:15.856 W/Resources(  210): Preloaded drawable resource #0x108062c (android:drawable/tab_unselected_pressed_holo) that varies with configuration!!
01-01 00:00:15.856 W/Resources(  210): Preloaded drawable resource #0x1080627 (android:drawable/tab_selected_pressed_holo) that varies with configuration!!
01-01 00:00:15.856 W/Resources(  210): Preloaded drawable resource #0x108062c (android:drawable/tab_unselected_pressed_holo) that varies with configuration!!
01-01 00:00:15.856 W/Resources(  210): Preloaded drawable resource #0x1080627 (android:drawable/tab_selected_pressed_holo) that varies with configuration!!
01-01 00:00:15.856 W/Resources(  210): Preloaded drawable resource #0x108061a (android:drawable/tab_indicator_holo) that varies with configuration!!
01-01 00:00:15.876 D/dalvikvm(  210): GC_EXPLICIT freed 86K, 12% free 2711K/3048K, paused 1ms+2ms, total 16ms
01-01 00:00:15.876 W/Resources(  210): Preloaded drawable resource #0x108062b (android:drawable/tab_unselected_holo) that varies with configuration!!
01-01 00:00:15.876 W/Resources(  210): Preloaded drawable resource #0x1080626 (android:drawable/tab_selected_holo) that varies with configuration!!
01-01 00:00:15.876 W/Resources(  210): Preloaded drawable resource #0x108062a (android:drawable/tab_unselected_focused_holo) that varies with configuration!!
01-01 00:00:15.876 W/Resources(  210): Preloaded drawable resource #0x1080625 (android:drawable/tab_selected_focused_holo) that varies with configuration!!
01-01 00:00:15.876 W/Resources(  210): Preloaded drawable resource #0x108062c (android:drawable/tab_unselected_pressed_holo) that varies with configuration!!
01-01 00:00:15.876 W/Resources(  210): Preloaded drawable resource #0x1080627 (android:drawable/tab_selected_pressed_holo) that varies with configuration!!
01-01 00:00:15.886 I/Zygote  (  210): ...preloaded 274 resources in 1041ms.
01-01 00:00:15.906 D/dalvikvm(  210): GC_EXPLICIT freed 56K, 12% free 2710K/3048K, paused 1ms+2ms, total 15ms
01-01 00:00:15.906 I/Zygote  (  210): ...preloaded 31 resources in 25ms.
01-01 00:00:15.906 D/libEGL  (  210): loaded /vendor/lib/egl/libEGL_adreno.so
01-01 00:00:15.906 D/libEGL  (  210): loaded /vendor/lib/egl/libGLESv1_CM_adreno.so
01-01 00:00:15.916 D/libEGL  (  210): loaded /vendor/lib/egl/libGLESv2_adreno.so
01-01 00:00:15.936 D/dalvikvm(  210): GC_EXPLICIT freed 15K, 12% free 2703K/3048K, paused 2ms+2ms, total 16ms
01-01 00:00:15.946 D/dalvikvm(  210): GC_EXPLICIT freed 3K, 12% free 2699K/3048K, paused 2ms+1ms, total 17ms
01-01 00:00:15.966 D/dalvikvm(  210): GC_EXPLICIT freed <1K, 12% free 2699K/3048K, paused 1ms+1ms, total 15ms
01-01 00:00:15.986 I/dalvikvm(  210): System server process 733 has been created
01-01 00:00:15.986 I/Zygote  (  210): Accepting command socket connections
01-01 00:00:16.006 D/        (  733): Setting time of day to sec=86400
01-02 00:00:00.000 W/        (  733): Unable to set rtc to 86400: Invalid argument
01-02 00:00:00.060 D/SensorService(  733): nuSensorService starting...
01-02 00:00:00.060 E/qc_os_sensors_hal(  733): The msm_id for sensor is invalided!
01-02 00:00:00.070 E/qcom_sensors_hal(  733): hal_load_oem_lib: ERROR: Could not open OEM HAL library
01-02 00:00:00.070 E/qcom_sensors_hal(  733): hal_init: No native sensors linux driver found in /system/lib/hw/sensors.oem.so
01-02 00:00:01.070 E/libsensor1(  733): sensor1_open: Error in connect() errno=111 Connection refused
01-02 00:00:01.070 E/sensor_reg(  733): sensor_reg_sensor1_open: sensor1_open returned 11
01-02 00:00:01.070 E/qcom_sensors_hal(  733): hal_init: Error in sensor_reg_open(): -1
01-02 00:00:01.550 E/QC-time-services(  269): Daemon:genoff_modem_qmi_init: qmi_client_get_service_list returned -2num_services 0
01-02 00:00:02.081 E/libsensor1(  733): sensor1_open: Error in connect() errno=111 Connection refused
01-02 00:00:02.081 E/qcom_sensors_hal(  733): _hal_sensors_get_sensors_list: sensor1 init failed
01-02 00:00:03.082 E/libsensor1(  733): sensor1_open: Error in connect() errno=111 Connection refused
01-02 00:00:03.082 E/qcom_sensors_hal(  733): _hal_sensors_get_sensors_list: sensor1 init failed
01-02 00:00:03.082 I/installd(  213): new connection
01-02 00:00:03.082 I/QCOM PowerHAL(  733): QCOM power HAL initing.
01-02 00:00:03.552 E/QC-time-services(  269): Daemon:genoff_modem_qmi_init: qmi_client_get_service_list returned -2num_services 0
01-02 00:00:03.552 E/QC-time-services(  269): Daemon:genoff_modem_qmi_init:retry count exceeds limitQMI init failed continuing withoutserver
01-02 00:00:03.552 E/QC-time-services(  269): Daemon: QMI init failed, QMI calls inactive
01-02 00:00:03.552 D/QC-time-services(  269): Daemon: Time-services: All initializations done
01-02 00:00:03.552 E/QC-time-services(  269): Daemon: Time-services: Waiting to acceptconnection
01-02 00:00:03.713 W/ResourceType(  733): Failure getting entry for 0x7f050000 (t=4 e=0) in package 0 (error -75)
01-02 00:00:03.933 I/AudioFlinger(  212): Using module 1 has the primary audio interface
01-02 00:00:03.933 W/SRS_Proc(  212): SRS: QDSP hook registered.
01-02 00:00:03.933 W/SRS_Proc(  212): SRS: QDSP hook registered.
01-02 00:00:03.933 V/AudioHardwareALSA(  212): virtual android::status_t android_audio_legacy::AudioHardwareALSA::setMode(int)() mode=0 mMode=0
01-02 00:00:03.933 I/AudioFlinger(  212): AudioFlinger's thread 0xb5b6e008 ready to run
01-02 00:00:03.933 W/SRS_ProcWS(  212): SRS_Processing - SourceOutAdd - No Available Slot for 0xb5b6e008
01-02 00:00:03.933 D/ALSAStreamOps(  212): setParameters(): keyRouting with device 0x2
01-02 00:00:03.933 D/ALSAStreamOps(  212): setParameters(): keyRouting with device 0x2
01-02 00:00:03.933 V/AudioHardwareALSA(  212): device = 0x2,mCurDevice 0x0
01-02 00:00:03.933 V/AudioHardwareALSA(  212): doRouting: device 0x2 newMode 0 mVoiceCallState 1            mVolteCallActive 1 mVoice2CallActive 1 mIsFmActive 0
01-02 00:00:03.933 V/AudioHardwareALSA(  212): bool android_audio_legacy::AudioHardwareALSA::isAnyCallActive()() ret=0
01-02 00:00:03.943 V/ALSADevice(  212): mInChannels:1
01-02 00:00:03.943 D/ALSADevice(  212): route: devices 0x2 in mode 0
01-02 00:00:03.943 V/ALSADevice(  212): switchDevice: device 0x2 mode:0
01-02 00:00:03.943 V/ALSADevice(  212): getUCMDevice for output device: devices:2 is input device:0
01-02 00:00:03.943 D/ALSADevice(  212): Using output : lime
01-02 00:00:03.943 V/ALSADevice(  212): switchDevice: rxDevice OutputLime devices:0x2
01-02 00:00:03.943 V/ALSADevice(  212): getUCMDevice for input device: devices:0 is input device:1
01-02 00:00:03.943 D/ALSADevice(  212): No valid input device: 0
01-02 00:00:03.943 V/ALSADevice(  212): switchDevice: txDevice:(null) devices:0x2
01-02 00:00:03.943 V/ALSADevice(  212): switchDevice,rxDev:OutputLime, txDev:(null), curRxDev:OutputLime, curTxDev:None
01-02 00:00:03.943 D/alsa_ucm(  212): snd_use_case_set(): uc_mgr 0xb79bff60 identifier _enadev value OutputLime
01-02 00:00:03.943 D/alsa_ucm(  212): Set mixer controls for HiFi enable 1
01-02 00:00:03.943 D/alsa_ucm(  212): Setting mixer control: SLIMBUS_0_RX Audio Mixer MultiMedia1, value: 1
01-02 00:00:03.943 D/ALSADevice(  212): switchDevice: mCurTxUCMDevivce None mCurRxDevDevice OutputLime
01-02 00:00:03.943 V/AudioHardwareALSA(  212): setVoiceVolume(0.000000)
01-02 00:00:03.943 V/AudioHardwareALSA(  212): setVoiceVolume  newMode 0
01-02 00:00:03.943 D/ALSADevice(  212): setVoipVolume: volume 100
01-02 00:00:03.943 D/ALSADevice(  212): setMixerControl:: name Voip Rx Volume value 100 index 0
01-02 00:00:03.943 D/ALSADevice(  212): standby: handle 0xb79f9658 h 0x0
01-02 00:00:03.943 V/ALSADevice(  212): standby handle h 0xb79f9748
01-02 00:00:03.953 D/alsa_ucm(  212): snd_use_case_set(): uc_mgr 0xb79bff60 identifier _verb value Inactive
01-02 00:00:03.953 D/alsa_ucm(  212): Set mixer controls for HiFi enable 0
01-02 00:00:03.953 D/alsa_ucm(  212): Setting mixer control: SLIMBUS_0_RX Audio Mixer MultiMedia1, value: 0
01-02 00:00:03.953 V/ALSADevice(  212): Number of modifiers 0
01-02 00:00:03.953 V/ALSADevice(  212): usecase_type is 0
01-02 00:00:03.953 D/alsa_ucm(  212): snd_use_case_set(): uc_mgr 0xb79bff60 identifier _disdev value OutputLime
01-02 00:00:03.953 D/alsa_ucm(  212): Set mixer controls for OutputLime enable 0
01-02 00:00:03.953 D/alsa_ucm(  212): Setting mixer control: RX3 MIX1 INP1, value: ZERO
01-02 00:00:03.953 D/alsa_ucm(  212): Setting mixer control: RX5 MIX1 INP1, value: ZERO
01-02 00:00:03.953 D/alsa_ucm(  212): Setting mixer control: RX4 DSM MUX, value: DSM_INV
01-02 00:00:03.953 D/alsa_ucm(  212): Setting mixer control: RX6 DSM MUX, value: DSM_INV
01-02 00:00:03.953 D/alsa_ucm(  212): Setting mixer control: LINEOUT1 Volume, value: 0
01-02 00:00:03.953 D/alsa_ucm(  212): Setting mixer control: LINEOUT2 Volume, value: 0
01-02 00:00:03.953 D/alsa_ucm(  212): Setting mixer control: LINEOUT3 Volume, value: 0
01-02 00:00:03.953 D/alsa_ucm(  212): Setting mixer control: LINEOUT4 Volume, value: 0
01-02 00:00:03.953 V/AudioHardwareALSA(  212): closeUsbPlaybackIfNothingActive, musbPlaybackState: 0
01-02 00:00:03.953 D/AudioUsbALSA(  212): exitPlaybackThread, mproxypfdPlayback: -1
01-02 00:00:03.953 D/AudioUsbALSA(  212): closeDevice handle 0x0
01-02 00:00:03.953 D/AudioUsbALSA(  212): closeDevice handle 0x0
01-02 00:00:03.953 V/AudioHardwareALSA(  212): openOutputStream: devices 0x2 channels 3 sampleRate 8000 flags 4
01-02 00:00:03.953 D/AudioHardwareALSA(  212): useCase HiFi Lowlatency
01-02 00:00:03.953 D/ALSADevice(  212): route: devices 0x2 in mode 0
01-02 00:00:03.953 V/ALSADevice(  212): switchDevice: device 0x2 mode:0
01-02 00:00:03.953 V/ALSADevice(  212): getUCMDevice for output device: devices:2 is input device:0
01-02 00:00:03.953 D/ALSADevice(  212): Using output : lime
01-02 00:00:03.953 V/ALSADevice(  212): switchDevice: rxDevice OutputLime devices:0x2
01-02 00:00:03.953 V/ALSADevice(  212): getUCMDevice for input device: devices:0 is input device:1
01-02 00:00:03.953 D/ALSADevice(  212): No valid input device: 0
01-02 00:00:03.953 V/ALSADevice(  212): switchDevice: txDevice:(null) devices:0x2
01-02 00:00:03.953 V/ALSADevice(  212): switchDevice,rxDev:OutputLime, txDev:(null), curRxDev:OutputLime, curTxDev:None
01-02 00:00:03.953 D/alsa_ucm(  212): snd_use_case_set(): uc_mgr 0xb79bff60 identifier _enadev value OutputLime
01-02 00:00:03.953 D/ALSADevice(  212): switchDevice: mCurTxUCMDevivce None mCurRxDevDevice OutputLime
01-02 00:00:03.953 D/alsa_ucm(  212): snd_use_case_set(): uc_mgr 0xb79bff60 identifier _verb value HiFi Lowlatency
01-02 00:00:03.953 D/alsa_ucm(  212): Set mixer controls for OutputLime enable 1
01-02 00:00:03.953 D/alsa_ucm(  212): acdb_id 15 cap 1 enable 1
01-02 00:00:03.953 D/ACDB-LOADER(  212): ACDB -> send_audio_cal, acdb_id = 15, path =  0
01-02 00:00:03.953 D/ACDB-LOADER(  212): ACDB -> send_adm_topology
01-02 00:00:03.953 D/ACDB-LOADER(  212): ACDB -> ACDB_CMD_GET_AUDPROC_COMMON_TOPOLOGY_ID
01-02 00:00:03.953 D/ACDB-LOADER(  212): ACDB -> send_audtable
01-02 00:00:03.953 D/ACDB-LOADER(  212): ACDB -> ACDB_CMD_GET_AUDPROC_COMMON_TABLE
01-02 00:00:03.953 D/ACDB-LOADER(  212): ACDB -> AUDIO_SET_AUDPROC_CAL
01-02 00:00:03.953 D/ACDB-LOADER(  212): ACDB -> send_audvoltable
01-02 00:00:03.953 D/ACDB-LOADER(  212): ACDB -> ACDB_CMD_GET_AUDPROC_GAIN_DEP_VOLTBL_STEP_COPP
01-02 00:00:03.953 D/ACDB-LOADER(  212): ACDB -> AUDIO_SET_AUDPROC_VOL_CAL
01-02 00:00:03.953 D/ACDB-LOADER(  212): ACDB -> send_afe_cal
01-02 00:00:03.953 D/ACDB-LOADER(  212): ACDB -> ACDB_CMD_GET_AFE_COMMON_TABLE
01-02 00:00:03.953 D/ACDB-LOADER(  212): ACDB -> AUDIO_SET_AFE_CAL
01-02 00:00:03.953 D/ACDB-LOADER(  212): ACDB -> send_hw_delay : acdb_id = 15 path = 0
01-02 00:00:03.953 D/ACDB-LOADER(  212): ACDB -> ACDB_CMD_GET_DEVICE_PROPERTY_SIZE
01-02 00:00:03.953 D/ACDB-LOADER(  212): ACDB -> ACDB_AVSYNC_INFO: ACDB_CMD_GET_DEVICE_PROPERTY
01-02 00:00:03.953 D/ACDB-LOADER(  212): send_hw_delay id = 15 delay_num_entries = 1 result = 0
01-02 00:00:03.953 D/alsa_ucm(  212): Setting mixer control: SLIM_0_RX Channels, value: Two
01-02 00:00:03.953 D/alsa_ucm(  212): Setting mixer control: RX3 MIX1 INP1, value: RX1
01-02 00:00:03.953 D/alsa_ucm(  212): Setting mixer control: RX5 MIX1 INP1, value: RX2
01-02 00:00:03.953 D/alsa_ucm(  212): Setting mixer control: RX4 DSM MUX, value: CIC_OUT
01-02 00:00:03.953 D/alsa_ucm(  212): Setting mixer control: RX6 DSM MUX, value: CIC_OUT
01-02 00:00:03.963 D/alsa_ucm(  212): Setting mixer control: LINEOUT1 Volume, value: 66
01-02 00:00:03.963 D/alsa_ucm(  212): Setting mixer control: LINEOUT2 Volume, value: 66
01-02 00:00:03.963 D/alsa_ucm(  212): Setting mixer control: LINEOUT3 Volume, value: 66
01-02 00:00:03.963 D/alsa_ucm(  212): Setting mixer control: LINEOUT4 Volume, value: 66
01-02 00:00:03.963 D/alsa_ucm(  212): Set mixer controls for HiFi Lowlatency enable 1
01-02 00:00:03.963 D/alsa_ucm(  212): Setting mixer control: SLIMBUS_0_RX Audio Mixer MultiMedia5, value: 1
01-02 00:00:03.963 D/ALSADevice(  212): close: handle 0xb79fc7a8 h 0x0
01-02 00:00:03.963 D/ALSADevice(  212): open: handle 0xb79fc7a8, format 0x2
01-02 00:00:03.963 V/ALSADevice(  212): Music case
01-02 00:00:03.963 D/ALSADevice(  212): Device value returned is hw:0,14
01-02 00:00:03.963 V/ALSADevice(  212): flags 0, devName hw:0,14
01-02 00:00:03.963 V/ALSADevice(  212): pcm_open returned fd 23
01-02 00:00:03.963 D/ALSADevice(  212): handle->format: 0x2
01-02 00:00:03.963 D/ALSADevice(  212): setHardwareParams: reqBuffSize 1024 channels 2 sampleRate 48000
01-02 00:00:03.963 W/Binder  (  733): Caught a RuntimeException from the binder stub implementation.
01-02 00:00:03.963 W/Binder  (  733): java.lang.NullPointerException
01-02 00:00:03.963 W/Binder  (  733): 	at com.android.server.power.PowerManagerService.updateWakeLockWorkSource(PowerManagerService.java:783)
01-02 00:00:03.963 W/Binder  (  733): 	at com.android.server.power.PowerManagerService.updateWakeLockUids(PowerManagerService.java:774)
01-02 00:00:03.963 W/Binder  (  733): 	at android.os.IPowerManager$Stub.onTransact(IPowerManager.java:103)
01-02 00:00:03.963 W/Binder  (  733): 	at android.os.Binder.execTransact(Binder.java:404)
01-02 00:00:03.963 W/Binder  (  733): 	at dalvik.system.NativeStart.run(Native Method)
01-02 00:00:03.973 D/ALSADevice(  212): setHardwareParams: buffer_size 2048, period_size 1024, period_cnt 2
01-02 00:00:03.973 I/AudioFlinger(  212): HAL output buffer size 256 frames, normal mix buffer size 1024 frames
01-02 00:00:03.973 I/AudioMixer(  212): found effect "Multichannel Downmix To Stereo" from The Android Open Source Project
01-02 00:00:03.973 E/MonoPipe(  212): Failed to fetch local time frequency when constructing a MonoPipe (res = -32).  getNextWriteTimestamp calls will be non-functional
01-02 00:00:03.973 I/AudioFlinger(  212): AudioFlinger's thread 0xb5906008 ready to run
01-02 00:00:03.973 W/SRS_ProcWS(  212): SRS_Processing - SourceOutAdd - No Available Slot for 0xb5906008
01-02 00:00:03.973 D/ALSAStreamOps(  212): setParameters(): keyRouting with device 0x2
01-02 00:00:03.973 D/ALSAStreamOps(  212): setParameters(): keyRouting with device 0x2
01-02 00:00:03.973 V/AudioHardwareALSA(  212): device = 0x2,mCurDevice 0x2
01-02 00:00:03.973 V/AudioHardwareALSA(  212): doRouting: device 0x2 newMode 0 mVoiceCallState 1            mVolteCallActive 1 mVoice2CallActive 1 mIsFmActive 0
01-02 00:00:03.973 V/AudioHardwareALSA(  212): bool android_audio_legacy::AudioHardwareALSA::isAnyCallActive()() ret=0
01-02 00:00:03.973 V/ALSADevice(  212): mInChannels:1
01-02 00:00:03.973 D/ALSADevice(  212): route: devices 0x2 in mode 0
01-02 00:00:03.973 V/ALSADevice(  212): switchDevice: device 0x2 mode:0
01-02 00:00:03.973 V/ALSADevice(  212): getUCMDevice for output device: devices:2 is input device:0
01-02 00:00:03.973 D/ALSADevice(  212): Using output : lime
01-02 00:00:03.973 V/ALSADevice(  212): switchDevice: rxDevice OutputLime devices:0x2
01-02 00:00:03.973 V/ALSADevice(  212): getUCMDevice for input device: devices:0 is input device:1
01-02 00:00:03.973 D/ALSADevice(  212): No valid input device: 0
01-02 00:00:03.973 V/ALSADevice(  212): switchDevice: txDevice:(null) devices:0x2
01-02 00:00:03.973 V/ALSADevice(  212): switchDevice,rxDev:OutputLime, txDev:(null), curRxDev:OutputLime, curTxDev:None
01-02 00:00:03.973 D/alsa_ucm(  212): snd_use_case_set(): uc_mgr 0xb79bff60 identifier _enadev value OutputLime
01-02 00:00:03.973 D/alsa_ucm(  212): Set mixer controls for HiFi Lowlatency enable 1
01-02 00:00:03.973 D/alsa_ucm(  212): Setting mixer control: SLIMBUS_0_RX Audio Mixer MultiMedia5, value: 1
01-02 00:00:03.973 D/ALSADevice(  212): switchDevice: mCurTxUCMDevivce None mCurRxDevDevice OutputLime
01-02 00:00:03.973 D/ALSADevice(  212): standby: handle 0xb79fc7a8 h 0x0
01-02 00:00:03.973 V/ALSADevice(  212): standby handle h 0xb79fcb10
01-02 00:00:03.973 I/r_submix(  212): adev_open(name=audio_hw_if)
01-02 00:00:03.973 I/r_submix(  212): adev_init_check()
01-02 00:00:03.973 I/AudioFlinger(  212): loadHwModule() Loaded r_submix audio interface from Wifi Display audio HAL (audio) handle 4
01-02 00:00:03.973 I/AudioPolicyService(  212): Loaded audio policy from QCOM Audio Policy HAL (audio_policy)
01-02 00:00:03.983 D/alsa_ucm(  212): snd_use_case_set(): uc_mgr 0xb79bff60 identifier _verb value Inactive
01-02 00:00:03.983 D/alsa_ucm(  212): Set mixer controls for HiFi Lowlatency enable 0
01-02 00:00:03.983 D/alsa_ucm(  212): Setting mixer control: SLIMBUS_0_RX Audio Mixer MultiMedia5, value: 0
01-02 00:00:03.983 V/ALSADevice(  212): Number of modifiers 0
01-02 00:00:03.983 V/ALSADevice(  212): usecase_type is 0
01-02 00:00:03.983 D/alsa_ucm(  212): snd_use_case_set(): uc_mgr 0xb79bff60 identifier _disdev value OutputLime
01-02 00:00:03.983 D/alsa_ucm(  212): Set mixer controls for OutputLime enable 0
01-02 00:00:03.983 D/alsa_ucm(  212): Setting mixer control: RX3 MIX1 INP1, value: ZERO
01-02 00:00:03.983 D/alsa_ucm(  212): Setting mixer control: RX5 MIX1 INP1, value: ZERO
01-02 00:00:03.983 D/alsa_ucm(  212): Setting mixer control: RX4 DSM MUX, value: DSM_INV
01-02 00:00:03.983 D/alsa_ucm(  212): Setting mixer control: RX6 DSM MUX, value: DSM_INV
01-02 00:00:03.983 D/alsa_ucm(  212): Setting mixer control: LINEOUT1 Volume, value: 0
01-02 00:00:03.993 D/alsa_ucm(  212): Setting mixer control: LINEOUT2 Volume, value: 0
01-02 00:00:03.993 D/alsa_ucm(  212): Setting mixer control: LINEOUT3 Volume, value: 0
01-02 00:00:03.993 D/alsa_ucm(  212): Setting mixer control: LINEOUT4 Volume, value: 0
01-02 00:00:03.993 V/AudioHardwareALSA(  212): closeUsbPlaybackIfNothingActive, musbPlaybackState: 0
01-02 00:00:03.993 D/AudioUsbALSA(  212): exitPlaybackThread, mproxypfdPlayback: -1
01-02 00:00:03.993 D/AudioUsbALSA(  212): closeDevice handle 0x0
01-02 00:00:03.993 D/AudioUsbALSA(  212): closeDevice handle 0x0
01-02 00:00:04.023 W/ResourceType(  733): Failure getting entry for 0x7f04000f (t=3 e=15) in package 0 (error -75)
01-02 00:00:04.023 W/ResourceType(  733): Failure getting entry for 0x7f04000f (t=3 e=15) in package 0 (error -75)
01-02 00:00:04.393 D/PackageManager(  733): No files in app dir /vendor/app
01-02 00:00:04.613 D/dalvikvm(  733): GC_EXPLICIT freed 2762K, 58% free 4715K/10988K, paused 2ms+5ms, total 42ms
01-02 00:00:04.713 E/ConsumerIrService(  733): Can't open consumer IR HW Module, error: -2
01-02 00:00:04.723 I/libsuspend(  733): Selected early suspend
01-02 00:00:04.723 I/libsuspend(  733): Starting early suspend unblocker thread
01-02 00:00:04.723 D/PermissionCache(  209): checking android.permission.ACCESS_SURFACE_FLINGER for uid=1000 => granted (457 us)
01-02 00:00:04.723 D/SurfaceFlinger(  209): Screen acquired, type=0 flinger=0xb85cb450
01-02 00:00:04.723 D/SurfaceFlinger(  209):  screen was previously acquired
01-02 00:00:04.784 D/BluetoothManagerService(  733): Loading stored name and address
01-02 00:00:04.784 D/BluetoothManagerService(  733): Stored bluetooth Name=QCOM-BTD,Address=00:3C:7F:F0:F0:0A
01-02 00:00:04.784 D/EventHub(  733): No input device configuration file found for device 'pmic8xxx_pwrkey'.
01-02 00:00:04.794 W/EventHub(  733): Unable to disable kernel key repeat for /dev/input/event0: Function not implemented
01-02 00:00:04.794 I/EventHub(  733): New device: id=1, fd=101, path='/dev/input/event0', name='pmic8xxx_pwrkey', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=true, usingClockIoctl=true
01-02 00:00:04.794 D/EventHub(  733): No input device configuration file found for device 'apq8064-tabla-snd-card Headset Jack'.
01-02 00:00:04.794 I/EventHub(  733): New device: id=2, fd=103, path='/dev/input/event3', name='apq8064-tabla-snd-card Headset Jack', classes=0x80, configuration='', keyLayout='', keyCharacterMap='', builtinKeyboard=false, usingSuspendBlockIoctl=true, usingClockIoctl=true
01-02 00:00:04.794 D/EventHub(  733): No input device configuration file found for device 'apq8064-tabla-snd-card Button Jack'.
01-02 00:00:04.794 W/EventHub(  733): Unable to disable kernel key repeat for /dev/input/event2: Function not implemented
01-02 00:00:04.794 I/EventHub(  733): New device: id=3, fd=104, path='/dev/input/event2', name='apq8064-tabla-snd-card Button Jack', classes=0x41, configuration='', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=true, usingClockIoctl=true
01-02 00:00:04.794 D/EventHub(  733): No input device configuration file found for device 'himax-touchscreen'.
01-02 00:00:04.794 I/EventHub(  733): New device: id=4, fd=102, path='/dev/input/event1', name='himax-touchscreen', classes=0x14, configuration='', keyLayout='', keyCharacterMap='', builtinKeyboard=false, usingSuspendBlockIoctl=true, usingClockIoctl=true
01-02 00:00:04.794 E/EventHub(  733): could not get driver version for /dev/input/mice, Not a typewriter
01-02 00:00:04.804 W/ResourceType(  733): Failure getting entry for 0x7f060000 (t=5 e=0) in package 0 (error -75)
01-02 00:00:04.824 I/InputReader(  733): Device added: id=-1, name='Virtual', sources=0x00000301
01-02 00:00:04.824 I/InputReader(  733):   Touch device 'himax-touchscreen' could not query the properties of its associated display.  The device will be inoperable until the display size becomes available.
01-02 00:00:04.824 I/InputReader(  733): Device added: id=4, name='himax-touchscreen', sources=0x00001002
01-02 00:00:04.824 I/InputReader(  733): Device added: id=3, name='apq8064-tabla-snd-card Button Jack', sources=0x00000501
01-02 00:00:04.824 I/InputReader(  733): Device added: id=2, name='apq8064-tabla-snd-card Headset Jack', sources=0x80000000
01-02 00:00:04.824 I/InputReader(  733): Device added: id=1, name='pmic8xxx_pwrkey', sources=0x00000101
01-02 00:00:04.854 I/InputReader(  733): Reconfiguring input devices.  changes=0x00000004
01-02 00:00:04.854 I/InputReader(  733): Device reconfigured: id=4, name='himax-touchscreen', size 480x864, orientation 0, mode 1, display id 0
01-02 00:00:04.894 I/PackageManager(  733): No secure containers on sdcard
01-02 00:00:05.034 W/dalvikvm(  733): method Lcom/android/server/QcConnectivityService;.convertFeatureToNetworkType incorrectly overrides package-private method with same name in Lcom/android/server/ConnectivityService;
01-02 00:00:05.034 W/dalvikvm(  733): method Lcom/android/server/QcConnectivityService;.setAlarm incorrectly overrides package-private method with same name in Lcom/android/server/ConnectivityService;
01-02 00:00:05.034 W/dalvikvm(  733): method Lcom/android/server/QcConnectivityService;.systemReady incorrectly overrides package-private method with same name in Lcom/android/server/ConnectivityService;
